word,ham_prob,spam_prob
"""""oh",4e-05,0.0
"""""oh""""""",4e-05,0.0
"""""our",0.00016,0.0
"""""paths",4e-05,0.0
"""""peak",0.00016,0.0
"""""polys""""",0.0,0.00011
"""""power",4e-05,0.0
"""""riddle""""",8e-05,0.0
"""""scrabble",0.0,0.00043
"""""shah",4e-05,0.0
"""""she",4e-05,0.0
"""""sometimes",4e-05,0.0
"""""song",8e-05,0.0
"""""special",0.0004,0.0
"""""stop",0.0,0.00011
"""""stop""""",0.0,0.00086
"""""sweet""""",4e-05,0.0
"""""tchelete",0.0,0.00021
"""""the",4e-05,0.0
"""""things",8e-05,0.0
"""""this",4e-05,0.0
"""""tu",0.0,0.00021
"""""ur",0.00016,0.00043
"""""usf",4e-05,0.0
"""""valentines",4e-05,0.0
"""""valued",8e-05,0.0
"""""walk",4e-05,0.0
"""""want",0.0,0.00086
"""""welcome""""""",4e-05,0.0
"""""welcomes""""",4e-05,0.0
"""""wellness""""",0.0,0.00043
"""""wen",4e-05,0.0
"""""what",8e-05,0.0
"""""with",4e-05,0.0
"""""woah""""",4e-05,0.0
"""""word",0.0,0.00021
"""""wow",4e-05,0.0
"""""wylie",4e-05,0.0
"""""x""""",8e-05,0.0
"""""you""""",4e-05,0.0
"""(alert)",0.0,0.00011
"""(and",4e-05,0.0
"""(help-center",0.0,0.00011
"""(no",4e-05,0.0
"""**celebrate!",0.0,0.00021
""".",0.00024,0.0
"""09066362231",0.0,0.00011
"""0a$networks",0.0,0.00011
"""1)",0.00012,0.0
"""1.20",4e-05,0.0
"""1.u",0.00024,0.0
"""1000's",0.0,0.00011
"""2",4e-05,0.0
"""3",0.0,0.00011
"""3000",0.0,0.00064
"""34000",4e-05,0.0
"""4",4e-05,0.0
"""44",0.0,0.00011
"""449050000301",0.0,0.00011
"""5",0.0,0.00011
"""500",0.0,0.00021
"""7",0.00016,0.0
"""8",4e-05,0.0
""";-(",4e-05,0.0
"""[…]",4e-05,0.0
"""a",0.00141,0.00021
"""abeg",4e-05,0.0
"""accordingly.",0.0,0.00011
"""actually",0.00012,0.0
"""adp""",0.0,0.00064
"""advice",0.0,0.00021
"""after",4e-05,0.0
"""ah",0.00028,0.0
"""ahhhh...just",4e-05,0.0
"""aight",0.00096,0.0
"""aiyo...",8e-05,0.0
"""al",4e-05,0.0
"""aldrine",4e-05,0.0
"""all",4e-05,0.00011
"""almost",4e-05,0.0
"""alright",0.0006,0.0
"""alrite",0.00024,0.0
"""also",8e-05,0.0
"""although",4e-05,0.0
"""an",4e-05,0.0
"""and",0.0002,0.0
"""anyway",4e-05,0.0
"""apple",0.0,0.00011
"""are",0.00032,0.0
"""argh",4e-05,0.0
"""arms",4e-05,0.0
"""arngd",4e-05,0.0
"""as",0.00028,0.00107
"""ask",4e-05,0.0
"""at",4e-05,0.0
"""atm",0.0,0.00086
"""auction",0.0,0.00011
"""awesome",0.0004,0.0
"""aww",0.00024,0.0
"""babe",0.0002,0.0
"""babe!",4e-05,0.0
"""bangbabes",0.0,0.00011
"""be",0.00072,0.0
"""bears",0.0,0.00011
"""beautiful",0.0002,0.0
"""because",0.00048,0.0
"""best",0.00056,0.0
"""better",4e-05,0.0
"""bill",4e-05,0.0
"""bloody",4e-05,0.0
"""boo",0.0002,0.0
"""boost",0.00048,0.0
"""bored",0.0,0.00011
"""brainless",4e-05,0.0
"""buzz!",4e-05,0.0
"""by",0.00016,0.0
"""call",0.00016,0.00021
"""camera",4e-05,0.0
"""can",0.00044,0.0
"""cant",4e-05,0.0
"""carlos",8e-05,0.0
"""cha",0.00024,0.0
"""checkmate""",0.00024,0.0
"""cheers",0.00048,0.0
"""chile",4e-05,0.0
"""chinatown",4e-05,0.0
"""christmas",4e-05,0.0
"""claim",0.0,0.00011
"""cmon",0.0,0.00011
"""coffee",4e-05,0.0
"""collect",0.0,0.00011
"""come",0.0002,0.0
"""complimentary",0.0,0.00011
"""congrats",0.0,0.00032
"""congrats!",0.0,0.00064
"""congratulations",0.0,0.00032
"""congratulations!",0.0,0.00021
"""congratulations!!!",0.0,0.00011
"""cool",0.00036,0.0
"""could",4e-05,0.0
"""crazy""",0.0,0.00064
"""customer",0.0,0.00021
"""dad",4e-05,0.0
"""daddy",4e-05,0.0
"""damn",8e-05,0.0
"""dayo",0.0,0.00021
"""dear",0.00044,0.00333
"""den",4e-05,0.0
"""depends",4e-05,0.0
"""derp.",4e-05,0.0
"""did",0.00012,0.00011
"""didn't",4e-05,0.0
"""ditto.",4e-05,0.0
"""divorce",0.0,0.00118
"""dizzamn",4e-05,0.0
"""do",0.00024,0.00043
"""doing",4e-05,0.0
"""don't",0.00036,0.0
"""dont",0.0002,0.0
"""double",0.0,0.00032
"""download",0.0,0.00011
"""drink"".",0.00024,0.0
"""drive",0.00024,0.0
"""dude",4e-05,0.0
"""dude.",4e-05,0.0
"""dueto",0.0,0.00011
"""dunno",4e-05,0.0
"""each",4e-05,0.0
"""easy",4e-05,0.0
"""edison",8e-05,0.0
"""eerie",0.0,0.00021
"""ela",4e-05,0.0
"""em",4e-05,0.0
"""england",0.0,0.00011
"""enjoy",4e-05,0.00021
"""enjoy""",0.00048,0.0
"""er",0.00032,0.0
"""erm",4e-05,0.0
"""erm...",4e-05,0.0
"""especially",4e-05,0.0
"""evening",4e-05,0.0
"""ever",8e-05,0.0
"""every",4e-05,0.0
"""evry",4e-05,0.0
"""excellent",4e-05,0.0
"""extension",0.0,0.00043
"""ey!",0.00024,0.0
"""fair",4e-05,0.0
"""faith",4e-05,0.0
"""fantasy",0.0,0.00011
"""feb",4e-05,0.0
"""fighting",8e-05,0.0
"""final",0.0,0.00021
"""finally",4e-05,0.0
"""find",0.00024,0.0
"""for",4e-05,0.00172
"""forgot",8e-05,0.0
"""found",4e-05,0.0
"""fr'ndship",4e-05,0.0
"""fran",4e-05,0.0
"""free",0.0,0.0014
"""free-message:",0.0,0.00011
"""free2day",0.0,0.00021
"""freemsg",0.0,0.00043
"""freemsg:",0.0,0.00011
"""friendship",8e-05,0.0
"""frnd",4e-05,0.0
"""fun",4e-05,0.0
"""funny",4e-05,0.0
"""fuuuuck",4e-05,0.0
"""fyi",8e-05,0.0
"""g",4e-05,0.0
"""gal",4e-05,0.0
"""garbage",4e-05,0.0
"""geeee",4e-05,0.0
"""geeeee",4e-05,0.0
"""get",0.00028,0.00064
"""getting",0.00024,0.0
"""gimme",0.0002,0.0
"""give",4e-05,0.0
"""go",4e-05,0.00064
"""goal!",0.0,0.00011
"""god",0.00012,0.0
"""good",0.00096,0.0
"""good!",4e-05,0.0
"""goodmorning",0.00044,0.0
"""goodnight",4e-05,0.0
"""gosh",4e-05,0.0
"""got",0.00012,0.00021
"""gov.uk",0.0,0.00011
"""gr8",0.0,0.00011
"""gran",0.00024,0.0
"""great.",4e-05,0.0
"""greetings",0.00012,0.0
"""gud",0.00052,0.0
"""gumby's",4e-05,0.0
"""guy",4e-05,0.0
"""ha",4e-05,0.0
"""ha.",4e-05,0.0
"""hack",0.0,0.00011
"""had",4e-05,0.00032
"""haha",0.00064,0.0
"""haha...",8e-05,0.0
"""happy",0.00028,0.0
"""have",4e-05,0.0
"""haven't",8e-05,0.0
"""he",0.00016,0.0
"""height",8e-05,0.0
"""hello",0.00064,0.00021
"""hello!",4e-05,0.0
"""hello""",0.00072,0.0
"""hello-/@drivby-:0quit",0.00024,0.0
"""hello.",8e-05,0.0
"""hello.how",4e-05,0.0
"""hellogorgeous",4e-05,0.0
"""helloooo...",4e-05,0.0
"""hey",0.00233,0.00011
"""hey!",0.00024,0.0
"""hey.",4e-05,0.0
"""hey...",4e-05,0.0
"""hey...great",4e-05,0.0
"""hi",0.00185,0.00086
"""hi.",8e-05,0.0
"""hiya",0.00016,0.0
"""hm",4e-05,0.0
"""hmm",0.00012,0.0
"""hmm...",4e-05,0.0
"""hmmm",8e-05,0.0
"""hmmm..",4e-05,0.0
"""hmmm...",4e-05,0.0
"""hmmm....",4e-05,0.0
"""hmph.",4e-05,0.0
"""honey",8e-05,0.0
"""honeybee",8e-05,0.0
"""hot",0.0,0.00032
"""hottest",0.0,0.00011
"""house-maid",0.00012,0.0
"""how",0.00068,0.0
"""how's",4e-05,0.0
"""huh...",4e-05,0.0
"""hungry",0.0,0.00011
"""hurry",4e-05,0.0
"""hurt",0.00024,0.0
"""hv",0.00016,0.0
"""i",0.0039,0.00011
"""i'd",4e-05,0.0
"""i'll",0.00016,0.0
"""i'm",0.00104,0.0
"""i've",0.00012,0.0
"""i.ll",4e-05,0.0
"""i;m",0.00024,0.0
"""idc",4e-05,0.0
"""idk.",4e-05,0.0
"""if",0.00024,0.00021
"""ill",4e-05,0.0
"""im",0.00056,0.0
"""imagine",4e-05,0.0
"""important",0.0,0.00011
"""in",4e-05,0.00021
"""indians",4e-05,0.0
"""interested",0.0,0.00021
"""isa",0.0,0.00021
"""isn't",4e-05,0.0
"""it",0.00044,0.00021
"""it'll",4e-05,0.0
"""it's",0.00028,0.0
"""its",0.00104,0.0
"""it‘s",8e-05,0.0
"""im",4e-05,0.0
"""i‘ll",4e-05,0.0
"""i‘ve",4e-05,0.0
"""jan",4e-05,0.0
"""jane",4e-05,0.0
"""january",0.0,0.00011
"""japanese",8e-05,0.0
"""jay",8e-05,0.0
"""jeevithathile",0.00024,0.0
"""jesugbemi",0.0,0.00043
"""john",0.0,0.00021
"""jolly",4e-05,0.0
"""julianaland""",0.00024,0.0
"""jus",4e-05,0.0
"""just",0.00048,0.0
"""k",0.0008,0.0
"""k..",4e-05,0.0
"""kate",4e-05,0.0
"""keep",0.00028,0.00086
"""kind",4e-05,0.0
"""kudi""yarasu",0.00048,0.0
"""last",0.0,0.00032
"""latest",0.0,0.00021
"""lemme",4e-05,0.0
"""lets",4e-05,0.0
"""life",0.0006,0.0
"""like",8e-05,0.0
"""living",8e-05,0.0
"""loan",0.0,0.00043
"""local",0.0,0.00011
"""lol",0.00016,0.0
"""lola",8e-05,0.0
"""look",4e-05,0.0
"""lookatme!:",0.0,0.00011
"""looks",4e-05,0.0
"""love",8e-05,0.0
"""maac(leader",0.0,0.00011
"""machan",4e-05,0.0
"""madam",4e-05,0.0
"""mah",4e-05,0.0
"""make",0.0,0.00011
"""margaret",0.00072,0.0
"""maybe",4e-05,0.0
"""mba+pgpm+sap+pdp+laptop.",0.0,0.00011
"""me",0.00036,0.0
"""meet",0.0,0.00011
"""men",4e-05,0.0
"""merry",4e-05,0.0
"""mila",0.0,0.00021
"""minimal",0.0,0.00011
"""miss",0.00052,0.0
"""mix""",0.0,0.00172
"""mmmmm",8e-05,0.0
"""mmmmmm",4e-05,0.0
"""mobile",0.0,0.00032
"""mon",4e-05,0.0
"""moneycontrol.com",0.0,0.00011
"""moon",4e-05,0.0
"""morning""",0.00048,0.0
"""mostly",4e-05,0.0
"""motivate",4e-05,0.0
"""multiply",4e-05,0.0
"""mum",8e-05,0.0
"""my",0.00044,0.0
"""nah",0.00024,0.0
"""nationwide",0.0,0.00043
"""naughty",4e-05,0.0
"""navratra",0.0,0.00011
"""neither",4e-05,0.0
"""new",0.00012,0.00032
"""nice.",4e-05,0.0
"""night",0.00024,0.0
"""nimbomsons.",4e-05,0.0
"""no",0.00056,0.00011
"""no!",4e-05,0.0
"""noida",0.0,0.00021
"""none!nowhere",0.00024,0.0
"""nope",4e-05,0.0
"""nope.",4e-05,0.0
"""not",0.00052,0.0
"""nothing",0.00016,0.0
"""nothing.",4e-05,0.0
"""nova",0.0,0.00011
"""now",8e-05,0.0
"""nowadays",4e-05,0.0
"""nt",4e-05,0.0
"""nver",0.00044,0.0
"""oh",0.00157,0.00011
"""oh!",4e-05,0.0
"""oh""",0.00024,0.0
"""oh...",0.00012,0.0
"""ok",0.0002,0.0
"""ok.",0.00012,0.0
"""okay",4e-05,0.0
"""okay.",4e-05,0.0
"""okey",8e-05,0.0
"""okies...",4e-05,0.0
"""ola",4e-05,0.0
"""omw",4e-05,0.0
"""once",4e-05,0.0
"""one",4e-05,0.00011
"""only",4e-05,0.0
"""ooh",4e-05,0.0
"""oops",0.00012,0.0
"""open",4e-05,0.0
"""orange",0.0,0.00021
"""ou",0.0,0.00011
"""our",0.00141,0.00032
"""over",0.0,0.00011
"""ow",4e-05,0.0
"""painful",4e-05,0.0
"""party's",4e-05,0.0
"""paths",0.00024,0.0
"""pdate_now",0.0,0.00011
"""perhaps",4e-05,0.0
"""pete",0.00024,0.0
"""petey",0.0002,0.0
"""piggy",4e-05,0.0
"""pity",4e-05,0.0
"""play",0.0,0.00011
"""playin",4e-05,0.0
"""please",0.00056,0.00086
"""plot",0.0,0.00011
"""plots",0.0,0.00011
"""pls",4e-05,0.0
"""plz",4e-05,0.0
"""polys""",0.0,0.00064
"""power",0.00048,0.0
"""poyyarikatur",4e-05,0.0
"""prem",0.0,0.00011
"""price",0.0,0.00011
"""princess",8e-05,0.0
"""probably",0.00016,0.0
"""property",0.0,0.00011
"""pvt",0.0,0.00011
"""ramprastha",0.0,0.00011
"""received",4e-05,0.0
"""records",0.0,0.00011
"""refer",0.0,0.00011
"""remember",4e-05,0.0
"""reminder",0.0,0.00011
"""rental",0.0,0.00011
"""residential",0.0,0.00011
"""response",4e-05,0.0
"""response""",0.00024,0.0
"""right",4e-05,0.0
"""rock",0.0,0.00011
"""romantic",0.0,0.00011
"""rose",0.00012,0.0
"""sad",8e-05,0.0
"""same",8e-05,0.0
"""save",4e-05,0.0
"""say",0.00016,0.0
"""science",4e-05,0.0
"""season's",0.0,0.00021
"""see",8e-05,0.0
"""send",4e-05,0.0
"""set",4e-05,0.0
"""sez",4e-05,0.0
"""shah",0.00024,0.0
"""she",0.00044,0.0
"""shit",0.00032,0.0
"""shop",0.0,0.00021
"""short",8e-05,0.0
"""si.como",0.00028,0.0
"""since",4e-05,0.0
"""single",4e-05,0.0
"""sir",0.00052,0.0
"""six",0.0,0.00021
"""skillpolo",0.0,0.00021
"""sleep",0.00024,0.0
"""smokes",0.00024,0.0
"""sms",0.0,0.00032
"""sms.",0.0,0.00032
"""smsservices.",0.0,0.00011
"""so",0.00024,0.0
"""solve",0.00012,0.0
"""some",4e-05,0.0
"""someone",0.0,0.00032
"""sometimes",0.00028,0.0
"""somewhr",4e-05,0.0
"""song",0.00068,0.0
"""sorry",0.00285,0.0
"""sounds",8e-05,0.0
"""speak",0.00024,0.0
"""spjanuary",0.0,0.00011
"""spoke",4e-05,0.0
"""spook",0.0,0.00021
"""sppok",0.0,0.00011
"""sry",4e-05,0.0
"""st",4e-05,0.0
"""stop",0.0,0.00064
"""storming",8e-05,0.0
"""sun",4e-05,0.0
"""sunshine",0.0,0.00021
"""superb",4e-05,0.0
"""suppliers""",0.0,0.00064
"""sure",0.0002,0.0
"""swayamvara",0.0,0.00011
"""sweet",4e-05,0.0
"""sweet""",0.00048,0.0
"""sweetheart",4e-05,0.0
"""swhrt",4e-05,0.0
"""symptoms",4e-05,0.0
"""symptoms""",0.00024,0.0
"""ta-daaaaa!",4e-05,0.0
"""tddnewsletter@emc1.co.uk",0.0,0.00011
"""tee",4e-05,0.0
"""tell",4e-05,0.0
"""text",4e-05,0.00064
"""text82228>>",0.0,0.00011
"""thank",0.00016,0.00032
"""thanks",0.00012,0.00064
"""thanx",4e-05,0.0
"""thanx.",4e-05,0.0
"""that",0.00016,0.0
"""that's",0.00032,0.0
"""thats",4e-05,0.0
"""thats",4e-05,0.0
"""that‘s",4e-05,0.0
"""the",0.00153,0.0
"""themob>",0.0,0.00011
"""themob>hit",0.0,0.00011
"""theoretically",4e-05,0.0
"""there'll",4e-05,0.0
"""there're",4e-05,0.0
"""they",8e-05,0.0
"""think",4e-05,0.00011
"""thinking",0.00024,0.0
"""this",0.00052,0.00086
"""thk",4e-05,0.0
"""thrill",0.0,0.00043
"""thursday",4e-05,0.0
"""tick",8e-05,0.0
"""time",4e-05,0.0
"""to",4e-05,0.00043
"""today",0.00052,0.01224
"""today's",0.0,0.00021
"""todays",0.0,0.00075
"""tonight?",4e-05,0.0
"""total",4e-05,0.0
"""true.",4e-05,0.0
"""trust",4e-05,0.0
"""try",0.0,0.00021
"""tunde",4e-05,0.0
"""tunji",4e-05,0.0
"""turns",4e-05,0.0
"""twinks",0.0,0.00011
"""two",4e-05,0.0
"""tyler",4e-05,0.0
"""u",0.00012,0.00032
"""u've",0.0,0.00011
"""ugh",4e-05,0.0
"""uh",4e-05,0.0
"""uncle",4e-05,0.0
"""under",8e-05,0.0
"""until",4e-05,0.0
"""update",0.0,0.00011
"""update_now",0.0,0.00011
"""upgrdcentre",0.0,0.00011
"""ups",4e-05,0.0
"""ur",0.00096,0.00011
"""urgent",0.0,0.00075
"""urgent!",0.0,0.00397
"""urgent!!",0.0,0.00021
"""urgent!:",0.0,0.00011
"""urgent.",0.0,0.00011
"""urgh",4e-05,0.0
"""usf",0.00028,0.0
"""v-aluable.",4e-05,0.0
"""valentine",0.0,0.00021
"""valentines",0.00024,0.0
"""valued",0.00048,0.0
"""velly",4e-05,0.0
"""very",8e-05,0.0
"""vikky",4e-05,0.0
"""wa",4e-05,0.0
"""waheed",0.0,0.00043
"""wait",8e-05,0.0
"""walk",0.00048,0.0
"""wan2",0.0,0.00021
"""want",0.0,0.00021
"""waqt",4e-05,0.0
"""was",8e-05,0.0
"""wat",4e-05,0.0
"""watching",0.00012,0.0
"""we",0.00024,0.00021
"""we're",4e-05,0.0
"""welcome",0.0,0.00064
"""welcomes""",0.00048,0.0
"""well",0.0004,0.00064
"""wellness",0.0,0.00011
"""wen",0.00068,0.0
"""what",0.00169,0.0
"""what's",4e-05,0.0
"""whatever",8e-05,0.0
"""whats",4e-05,0.0
"""when",0.0002,0.0
"""whenevr",4e-05,0.0
"""who",4e-05,0.0
"""why",4e-05,0.0
"""will",4e-05,0.00011
"""win",0.0,0.00021
"""win:",0.0,0.00021
"""winner!7827156256",0.0,0.00011
"""wishing",8e-05,0.0
"""wiskey",4e-05,0.0
"""with",0.00048,0.00032
"""wn",4e-05,0.0
"""wnevr",4e-05,0.0
"""woah""",0.00024,0.0
"""wow",0.00028,0.0
"""wow.",8e-05,0.0
"""wylie",0.00024,0.0
"""x""",0.00068,0.0
"""xmas",0.0,0.00021
"""xxxmobilemovieclub:",0.0,0.00021
"""y",4e-05,0.0
"""y'ello",0.0,0.00021
"""ya",0.00024,0.0
"""yalru",4e-05,0.0
"""yar",4e-05,0.0
"""yeah",0.00096,0.0
"""yeh",0.00028,0.0
"""yep",0.00012,0.0
"""yes",0.00032,0.0
"""yes!!!",0.0012,0.0
"""yes..but",4e-05,0.0
"""yetunde",4e-05,0.0
"""yo",0.00036,0.0
"""you",0.00044,0.00193
"""you""",0.00048,0.0
"""you'd",4e-05,0.0
"""you've",0.0,0.00043
"""your",0.0,0.00097
"""yun",4e-05,0.0
"""yup",8e-05,0.0
"""yup.",4e-05,0.0
"""…",4e-05,0.0
#,0.00137,0.0
#122#,0.0,0.00021
#122#.call,0.0,0.00021
#122*2#,0.0,0.00043
#122*2#.,0.0,0.00064
#124*1#,0.0,0.00021
#12dg2016,8e-05,0.0
#150,0.0,0.00075
#200=248013808988#200=250071012215#200=301720255494,8e-05,0.0
#400=(600563628918),8e-05,0.0
#5000,0.0,0.00215
#750,8e-05,0.0
#name?,8e-05,0.0
#tgif,0.00016,0.0
$,0.00177,0.00011
$1,0.00048,0.00011
$1000,0.0,0.00075
$140,0.00028,0.0
$180,0.00028,0.0
$2,0.00028,0.0
$2500,0.0,0.00011
$3.75,8e-05,0.0
$350,0.0,0.00215
$5.00,0.0,0.00161
$50,0.00024,0.00064
$50...,0.00028,0.0
$70.,8e-05,0.0
$700,0.00028,0.0
$9,0.0,0.00011
$900,0.00044,0.0
$95/pax,0.00028,0.0
$een,0.00016,0.0
%,0.00056,0.0
%.,0.0008,0.0
%100,0.00056,0.0
%of,0.00024,0.0
&,0.01125,0.12621
&5am,0.0004,0.00064
&amp;,0.02241,0.0
&cs,0.0,0.00075
&experience(mee),0.00016,0.0
&gt;:(,0.00153,0.0
&it,0.00028,0.0
&loneliness,0.00016,0.0
&lt;#&gt;,0.07692,0.0
&lt;),0.0002,0.0
&lt;3,0.00076,0.0
&lt;decimal&gt;,0.00586,0.0
&lt;email&gt;,0.00024,0.0
&lt;time&gt;,0.00177,0.0
&lt;url&gt;,0.00096,0.0
&monitoring,0.00016,0.00021
&opinion,8e-05,0.0
&othrs,0.00028,0.0
&party,0.0,0.00021
&prayr,8e-05,0.0
&sam,0.00028,0.0
&sweet,8e-05,0.0
&tink,8e-05,0.0
&we,0.0,0.00086
&wen,8e-05,0.0
&xxx,0.0,0.00075
&you,0.0,0.00086
',0.00141,0.0
'',0.00285,0.0
''grass,8e-05,0.0
''ok'',0.0012,0.0
'0',0.0,0.00011
'an,0.00024,0.0
'anything',0.00024,0.0
'cast,0.0,0.00021
'centenary,0.0,0.00021
'comfort',0.00028,0.0
'doctors',0.00028,0.0
'fb',0.0,0.00107
'heart'...,0.00028,0.0
'hello',0.0,0.00021
'help',0.0,0.00269
"'help'""",0.0,0.00011
'hex',0.00024,0.0
'hw,0.00048,0.0
'if,0.00028,0.0
'ife,0.0,0.00043
'its,0.00028,0.0
'life,0.0,0.00021
'll,0.00072,0.0
'luxury',0.00028,0.0
'maangalyam,0.00056,0.0
'married',0.0002,0.0
'mb2',0.0,0.00064
'mb3',0.0,0.00064
'mb4',0.0,0.00064
'mb5',0.0,0.00064
'mb6',0.0,0.00064
'mb7',0.0,0.00064
'melle,0.00149,0.0
'mitigating,8e-05,0.0
'mobile',0.0,0.00107
'monthly',0.0,0.00107
'mtn,0.0,0.00021
'need',0.00028,0.0
'nigeria,0.0,0.00344
'o',8e-05,0.0
'om',0.0,0.00107
'outside',0.0,0.00021
'plan',0.00024,0.00172
'rencontre',0.00024,0.0
's,8e-05,0.0
'scape,8e-05,0.0
'simple',0.00048,0.0
'sm1',0.0,0.00064
'sm2',0.0,0.00064
'sm3',0.0,0.00064
'smart',0.0,0.00107
'smarta',0.0,0.00021
'taxless',0.00028,0.0
'terrorist',0.00048,0.0
'that,0.00028,0.0
'the,0.0,0.00043
'they',8e-05,0.0
'they'?,8e-05,0.0
'til,0.00104,0.0
'uptown,0.0,0.00075
'value,0.0,0.00021
'wnevr,0.00024,0.0
'xam...,0.00028,0.0
(,0.00072,0.0
($900),0.00028,0.0
(0),0.0,0.00043
(08xxxxxx00),8e-05,0.0
(08xxxxxx07),8e-05,0.0
(100mb,0.0,0.00043
(100p/sms),0.0,0.00064
(10mb,0.0,0.00043
(10p/min),0.0,0.00183
(10p/min).,0.0,0.0015
(11k/s,0.0,0.00021
(12,0.0,0.00011
(12k/sec).,8e-05,0.0
(150p/sms),0.0,0.00064
(15th),0.00016,0.0
(18,0.0,0.0014
(18+),0.0,0.00344
(18+).,0.0,0.0014
(1gb,0.0,0.00043
(2/3),0.0,0.00064
(20/f),0.0,0.00075
(23/4/2014),8e-05,0.0
(25/f),0.0,0.00172
(250mb,0.0,0.00043
(25p),0.0,0.0015
(29/m),0.0,0.00086
